label,user_mentions,exc_count,quest_count,ellipsis_count,interjection_count,uppercase_count,rep_letter,tweet_score,positive_word,negative_word,polarity,noun_count,verb_count,intensifier_count,bi,tri,uni,emoji_score,emoji_tweet_flip,hashtag_score
0,0,0,0,0,0,0,0,0.7184,0,0,0,0,0,0,0,0,0,0.7184,1,0
0,1,0,0,0,0,0,0,0.8126,0,1,0,0,1,0,-1,-1,-0.5574,0.9001,1,0
0,1,0,0,0,0,0,3,-0.4215,2,2,0,2,2,0,-0.67,-1,-0.335,0,1,0
0,0,0,0,0,0,1,3,0.7893,2,0,0,2,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,-0.3182,0,1,0,0,1,0,-0.6364,-0.9546,-0.3182,0,1,0
0,1,0,0,0,0,0,0,0.6113,1,0,0,1,0,0,0.9534,1,0.4767,0,1,0
0,0,0,0,0,0,0,1,-0.4588,1,1,0,1,1,0,-0.5954,-0.3931,-0.3836,0,1,-0.5859
0,0,0,0,0,0,1,0,0.5034,1,0,0,1,0,0,1,1,0.6249,-0.2748,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0.4588,1,0,0,1,0,0,0.9176,1,0.4588,0,1,0
0,1,0,0,0,0,0,1,0.4939,1,0,0,1,0,0,0.9878,1,0.4939,0,1,0
0,2,0,0,0,0,0,0,0.7946,2,0,0,2,0,0,1,1,0.9125,0,1,0
0,1,1,0,0,0,0,0,-0.0772,1,1,0,1,1,0,0.0212,0.5318,-0.0468,0,1,0
0,0,0,0,0,0,0,0,0.0772,1,1,0,1,1,0,0.1988,0.7982,0.042,0,1,0
0,1,0,0,0,0,0,3,0.9349,4,0,0,4,0,0,1,1,1,0,1,0
0,1,0,0,0,0,0,2,0.9482,3,0,0,3,0,0,1,1,1,0.6705,0,0
0,0,0,0,0,0,0,0,0.4939,2,0,0,2,0,0,1,1,0.5423,0,1,0
0,0,0,0,0,0,0,0,0.431,0,1,0,0,1,0,-1,-1,-0.5423,0,1,0
0,0,1,0,0,0,0,0,0.4588,1,1,0,1,1,0,0.5474,0.3211,0.3731,0,1,-0.2263
0,0,0,0,0,0,0,0,0.7346,4,1,0,4,1,0,1,1,0.9386,0,1,0
0,0,0,0,0,0,0,1,-0.6486,0,1,0,0,1,0,-1,-1,-0.6486,0,1,0
0,0,0,1,0,0,0,2,-0.7717,1,2,0,1,2,0,-1,-1,-1,0,1,0
0,0,1,0,0,0,0,1,0.7351,2,0,0,2,0,0,1,1,0.9331,0,1,0
0,0,1,0,0,0,1,1,0.8286,2,0,0,2,0,0,1,1,1,0,1,0.5106
0,3,0,0,0,0,0,2,-0.4767,0,1,0,0,1,0,-0.9534,-1,-0.4767,0,1,0
0,1,0,0,0,0,1,1,0.1531,2,0,0,2,0,0,1,1,0.6367,-0.4767,1,0
0,0,0,0,1,0,0,1,-0.8555,0,2,0,0,2,0,-1,-1,-1,-0.4215,0,0
0,0,0,0,0,0,0,2,-0.1531,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,19,1,0.9961,5,3,0,5,3,0,1,1,0.8502,0.9942,0,0
0,0,2,0,0,0,1,2,0.8208,3,1,0,3,1,0,1,1,1,0,1,0
0,0,0,0,0,0,1,0,-0.5106,0,1,0,0,1,0,-1,-1,-0.5106,0,1,0
0,0,0,0,0,0,0,0,-0.8934,0,3,0,0,3,0,-1,-1,-1,0,1,0
0,0,0,0,0,0,0,3,-0.2755,1,0,0,1,0,0,0.7224,1,0.3612,0,1,0
0,0,0,0,0,0,1,1,-0.3612,0,1,0,0,1,0,-0.7224,-1,-0.3612,0,1,0
0,0,0,0,0,0,0,0,0.0258,1,1,0,1,1,0,0.0444,0.0666,0.0222,0,1,0
0,0,0,0,0,0,0,2,0.4588,1,0,0,1,0,0,0.9176,0.9176,0.4588,0,1,0
0,0,0,0,0,0,1,3,0.9451,3,0,0,3,0,0,1,1,1,0.6369,0,0
